"identificador";"nome";"avaliacao"
"02779536";SOCIAL SCIENCE & MEDICINE (1982);A1
ITSS;Interactive Tabletops and Surfaces;A4
IBERCHIP;Workshop Iberchip;B4
"15737683";JOURNAL OF MATHEMATICAL IMAGING AND VISION (DORDRECHT. ONLINE);A1
JURIX;International Conference on Legal Knowledge and Information Systems;B2
PDC;Participatory Design Conference;A4
"19467729";SIGSPATIAL SPECIAL;nulo
"01023543";C&T. REVISTA MILITAR DE CIÊNCIA E TECNOLOGIA;nulo
"08853185";MOVEMENT DISORDERS;A1
ICONS-IARIA;IARIA International Conference on Systems;B3
"15496325";ACM TRANSACTIONS ON ALGORITHMS;A2
"09601295";MSCS. MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE (PRINT);A2
"10847529";JOURNAL OF THE OPTICAL SOCIETY OF AMERICA. A, OPTICS, IMAGE SCIENCE, AND VISION;A3
"00189219";PROCEEDINGS OF THE IEEE;A1
ISCRAM;International Conference on Information Systems for Crisis Response and Management;A3
"15564959";JOURNAL OF FIELD ROBOTICS;A1
"14761289";INTERNATIONAL JOURNAL OF WEB ENGINEERING AND TECHNOLOGY;B3
"0160791X";TECHNOLOGY IN SOCIETY;A2
"10538119";NEUROIMAGE (ORLANDO, FLA. PRINT);A1
"10778926";THE ELECTRONIC JOURNAL OF COMBINATORICS;A4
AICT-IARIA;IARIA Advanced International Conference on Telecommunications;B4
"24699950";PHYSICAL REVIEW. B, CONDENSED MATTER AND MATERIALS PHYSICS;A1
BIH;International Conference on Brain Informatics and Health;B2
QUATIC;International Conference on Quality of Information and Communications Technology;B3
"13875868";SPATIAL COGNITION AND COMPUTATION;A2
"15701255";INFORMATION POLITY;A1
"19821654";INFORMÁTICA NA EDUCAÇÃO;nulo
KESAMSTA;MSTA - International KES Conference on Agents and Multi-Agent Systems: Technologies and Applications;B2
ESORICS;European Symposium on Research in Computer Security;A2
"03605442";ENERGY (OXFORD);A1
"25254251";REVISTA DE ENGENHARIA E PESQUISA APLICADA;nulo
"15737454";AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS (DORDRECHT. ONLINE);A3
"09740635";INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE;A3
SMARTGREENS;International Conference on Smart Grids and Green ICT Systems;B2
IMOC;SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference;B4
SPLASH;ACM SIGPLAN CONFERENCE ON SYSTEMS, PROGRAMMING, LANGUAGES, AND APPLICATIONS: SOFTWARE FOR HUMANITY;B3
IWBF;International Workshop on Biometrics and Forensics;B1
ICSOC;International Conference on Service Oriented Computing;A3
"02184885";INTERNATIONAL JOURNAL OF UNCERTAINTY, FUZZINESS AND KNOWLEDGE-BASED SYSTEMS;B1
ISR;IEEE International Conference on Intelligence and Safety for Robotics;B4
OSS;International Conference on Open Source Systems;B2
EIS;SPIE Human Vision and Electronic Imaging;B1
"23184051";EAD & TECNOLOGIAS DIGITAIS NA EDUCAÇÃO;nulo
TIME;International Symposium on Temporal Representation and Reasoning;B1
SASO;International Conference on Self-Adaptive and Self-Organizing Systems;A4
AVI;International Working Conference on Advanced Visual Interfaces;B1
ITSC;IEEE International Conference on Intelligent Transportation Systems;A2
ITICSE;Conference on Innovation and Technology in Computer Science Education;A3
CASES;International Conference on Compilers, Architecture, and Synthesis for Embedded Systems;A4
AMD;Workshop on Analysis of Movement Data;B4
"18632122";ELECTRONIC COMMUNICATIONS OF THE EASST;B3
DEA;International Conference on Data Envelopment Analysis;B4
"01034308";REVISTA DE INFORMÃTICA TEÕRICA E APLICADA;B4
CSCL;International Conference on Computer Supported Collaborative Learning;B2
SOCINFO;International Conference on Social Informatics;A3
PRDC;Pacific Rim International Symposium on Dependable Computing;B1
ISSRE;IEEE International Symposium on Software Reliability Engineering;A3
"18695469";SOCIAL NETWORK ANALYSIS AND MINING;A2
"15522210";INTERDISCIPLINARY JOURNAL OF E-LEARNING AND LEARNING OBJECTS;nulo
"15423980";JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING;A4
ANCS;ACM/IEEE Symposium on Architectures for Networking and Communications Systems;A4
"18083064";HORIZONTE CIENTÍFICO (UBERLÂNDIA);nulo
"1744263X";INTERNATIONAL JOURNAL OF METADATA, SEMANTICS AND ONTOLOGIES;B1
"18643027";TRANSACTIONS ON ASPECT-ORIENTED SOFTWARE DEVELOPMENT (PRINT);nulo
"18651356";LECTURE NOTES IN BUSINESS INFORMATION PROCESSING;nulo
"14388871";JMIR. JOURNAL OF MEDICAL INTERNET RESEARCH;A3
AH;Augmented Human International Conference;A3
"10636560";EVOLUTIONARY COMPUTATION;A1
WEIT;Workshop-Escola de Informática Teórica;B4
"20464568";INTERNATIONAL JOURNAL FOR E-LEARNING SECURITY;nulo
LARS;IEEE Latin American Robotics Symposium;B1
"10981241";SYSTEMS ENGINEERING;B1
"1438793X";FUNCTIONAL & INTEGRATIVE GENOMICS (PRINT);A3
"24484105";REVISTA INNOVER;nulo
SDM;SIAM International Conference on Data Mining;A2
"09387994";EUROPEAN RADIOLOGY;A1
"16723813";COMPLEX SYSTEMS AND COMPLEXITY SCIENCE;B3
"09762191";INTERNATIONAL JOURNAL OF ARTIFICIAL INTELLIGENCE & APPLICATIONS (IJAIA);nulo
"00135194";ELECTRONICS LETTERS;A3
"00219258";JOURNAL OF BIOLOGICAL CHEMISTRY;A2
WIE;Workshop de Informática na Escola;A4
"1748670X";COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE (PRINT);A2
MODELSWARD;International Conference on Model-Driven Engineering and Software Development;B1
"10846654";ACM JOURNAL OF EXPERIMENTAL ALGORITHMICS;B1
"19331681";JOURNAL OF INFORMATION TECHNOLOGY AND POLITICS;A1
ICAISC;International Conference on Artificial Intelligence and Soft Computing;A3
"16155262";INTERNATIONAL JOURNAL OF INFORMATION SECURITY (PRINT);A3
"01650114";FUZZY SETS AND SYSTEMS;A1
"16793951";CADERNOS EBAPE.BR (FGV);nulo
"19816278";RECIIS-REVISTA ELETRÔNICA DE COM. INFORMAÇÃO & INOVAÇÃO EM SAÚDE;nulo
ICN;ACM International Conference on Information-Centric Networking;A2
EACL;Conference of the European Chapter of the Association for Computational Linguistics;A1
"08858950";IEEE TRANSACTIONS ON POWER SYSTEMS;A1
"20832567";JOURNAL OF ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING RESEARCH;A1
"14321769";MACHINE VISION AND APPLICATIONS (INTERNET);A3
"21985634";NONLINEAR PROCESSES IN GEOPHYSICS DISCUSSIONS;nulo
"01403664";COMPUTER COMMUNICATIONS;A2
VISAPP;International Conference on Computer Vision Theory and Applications;A3
"19391404";IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING;A1
ISBI;IEEE International Symposium on Biomedical Imaging;A2
E-Learning;IADIS International Conference on e-Learning;B3
CSI-SE;E - International Workshop on Crowdsourcing in Software Engineering;B2
CHES;Conference on Cryptographic Hardware and Embedded Systems;A1
DAWAK;International Conference on Big Data Analytics and Knowledge Discovery;B1
"01635948";SOFTWARE ENGINEERING NOTES;nulo
IVAPP;International Conference on Information Visualization Theory and Applications;B3
CASE;IEEE Conference on Automation Science and Engineering;A3
"18085245";EM QUESTÃO;nulo
"00102180";COMBUSTION AND FLAME;A1
PGM;International Conference on Probabilistic Graphical Models;B4
EUROGRAPHICS;European Association for Computer Graphics;A1
SORT;IEEE Workshop on Self-Organizing Real-Time Systems;B4
ICMCS;IEEE International Conference on Multimedia Computing and Systems;B1
"09475745";JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH;A2
RECOMB;International Conference on Research in Computational Molecular Biology;A3
"15734803";JOURNAL OF MATERIALS SCIENCE (DORDRECHT. ONLINE);A1
MetaSel;International Workshop on Meta-Learning and Algorithm Selection;B4
FCCM;IEEE Annual International Symposium on Field-Programmable Custom Computing Machines;A3
BMSB;IEEE International Symposium on Broadband Multimedia Systems and Broadcasting;B1
FMCAD;International Conference on Formal Methods in Computer-Aided Design;A3
"16781252";REVISTA SETREM;nulo
"14200597";COMPUTATIONAL GEOSCIENCES (AMSTERDAM);A1
"20474938";IET BIOMETRICS;A2
SIMULTECH;International Conference on Simulation and Modeling Methodologies, Technologies and Applications;B3
CIMENICS;International Congress on Numerical Methods in Engineering and Applied Sciences;B4
"00261270";METHODS OF INFORMATION IN MEDICINE;A1
PET;Privacy Enhancing Technologies;A2
nulo;JOURNAL ON INTERACTIVE SYSTEMS (JIS);B2
WTA;Workshop de Tecnologia Adaptativa;B4
UNET;International Symposium on Ubiquitous Networking;B3
"15172112";SEPA. SEMINÁRIO ESTUDANTIL DE PRODUÇÃO ACADÊMICA;nulo
"15480992";REVISTA IEEE AMÉRICA LATINA (IEEE Latin America Transactions);A4
ICITST;International Conference for Internet Technology and Secured Transactions;B1
"0924669X";APPLIED INTELLIGENCE (BOSTON);A3
"19835604";REVISTA DE SISTEMAS DE INFORMAÇÃO DA FSMA;nulo
"22120173";PROCEDIA TECHNOLOGY;nulo
"17412560";JOURNAL OF NEURAL ENGINEERING;A2
"11373601";INTELIGENCIA ARTIFICIAL;B4
WG;International Workshop on Graph-Theoretic Concepts in Computer Science;A3
ACM SIGSPATIAL;ACM International Conference on Advances in Geographic Information Systems;A2
EUROSIM;Congress on Modelling and Simulation;B3
ECCWS;European Conference on Cyber Warfare and Security;B3
"10897771";IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE;nulo
"09226567";MACHINE TRANSLATION;A2
"15540669";FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL;A1
"09473602";REQUIREMENTS ENGINEERING (LONDON. PRINT);A2
ISIT;International Symposium on Information Theory;A1
KR;International Conference on Principles of Knowledge Representation and Reasoning;A3
"09528091";INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY;A4
"15362310";OMICS: JOURNAL OF INTEGRATIVE BIOLOGY;A3
CCGRID;IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing;A2
"1751858X";IET CIRCUITS, DEVICES & SYSTEMS (PRINT);B1
"15469735";BIODIVERSITY INFORMATICS;nulo
"08838542";APPLIED ENGINEERING IN AGRICULTURE;A4
"01044060";EDUCAR EM REVISTA (IMPRESSO);nulo
RCAR;IEEE International Conference on Real-time Computing and Robotics;B4
"08839514";APPLIED ARTIFICIAL INTELLIGENCE;B2
"15497747";IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS. II, EXPRESS BRIEFS;A2
"18624472";OPTIMIZATION LETTERS (PRINT);A3
"24156698";ADVANCES IN SCIENCE, TECHNOLOGY AND ENGINEERING SYSTEMS;B3
"01735373";AMPHIBIA - REPTILIA;A4
"03019322";INTERNATIONAL JOURNAL OF MULTIPHASE FLOW;A1
"16773071";RESI. REVISTA ELETRÔNICA DE SISTEMAS DE INFORMAÇÃO;nulo
W2GIS;International Symposium Web and Wireless Geographical Information Systems;A4
"1687725X";JOURNAL OF SENSORS;A2
"1916985X";KINEPHANOS;nulo
"20904355";ISRN COMMUNICATIONS AND NETWORKING;nulo
MDAI;International Conference on Modeling Decisions for Artificial Intelligence;B3
"03051048";NUCLEIC ACIDS RESEARCH;A1
GeoAI;International Workshop on AI for Geographic Knowledge Discovery;B4
"13867857";CLUSTER COMPUTING;B1
SAMOS;International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation;B1
"23056991";SYSTEMS. CONNECTING MATTER, LIFE, CULTURE AND TECHNOLOGY;nulo
"10641246";JOURNAL OF INTELLIGENT & FUZZY SYSTEMS;A2
WTTM;Workshop on the Theory of Transactional Memory;B4
"15737578";DISTRIBUTED AND PARALLEL DATABASES (DORDRECHT. ONLINE);A4
"20553714";THE IFCOLOG JOURNAL OF LOGICS AND THEIR APPLICATIONS;nulo
ISC;International Supercomputing Conference;A3
"1413571X";CLÍNICA VETERINÁRIA;nulo
"01678191";PARALLEL COMPUTING;A4
QMMQ;Quality of Models and Models of Quality Workshop;B4
CIDM;Symposium on Computational Intelligence and Data Mining;B1
ICCVE;International Conference on Connected Vehicles & Exp;A4
"18777503";JOURNAL OF COMPUTATIONAL SCIENCE;A1
ICER;International Computing Education Research;A3
"08858977";IEEE TRANSACTIONS ON POWER DELIVERY;A1
OCEAN;IEEE Oceans Conference;A4
"18770509";PROCEDIA COMPUTER SCIENCE;A3
"13301136";JOURNAL OF COMPUTING AND INFORMATION TECHNOLOGY;A4
CSMC;Conference on Computer Simulation of Musical Creativity;B3
TAP;International Conference on Tests and Proofs;B1
"03772217";EUROPEAN JOURNAL OF OPERATIONAL RESEARCH;A1
"17515254";EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING;A3
"19994893";ALGORITHMS;A4
"09754660";INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND INFORMATION TECHNOLOGY;nulo
ECIS;European Conference on Information Systems;A2
CAAD;Computer-Aided Architectural Design Futures Conference;B3
"00262714";MICROELECTRONICS AND RELIABILITY;A3
"10706631";PHYSICS OF FLUIDS (1994);A1
ISGT-Europe;IEEE PES Innovative Smart Grid Technologies Conference Europe;A4
RuleML;International Web Rule Symposium;B1
"16874161";EURASIP JOURNAL ON MULTIMEDIA AND INFORMATION SECURITY (PRINT);A2
LANC;Latin American Networking Conference;B4
CISIS;International Conference on Complex, Intelligent, and Software Intensive Systems;A4
"19842961";REVISTA BRASILEIRA DE PARASITOLOGIA VETERINÁRIA (ONLINE);nulo
"15411672";IEEE INTELLIGENT SYSTEMS;A1
"15708667";JOURNAL OF DISCRETE ALGORITHMS (PRINT);A3
"20477538";LIGHT: SCIENCE & APPLICATIONS;A1
"07365853";TELEMATICS AND INFORMATICS;A1
WEBMEDIA;Brazilian Symposium on Multimedia and the Web;A4
"01389130";SCIENTOMETRICS (PRINT);A1
JCSSE;International Joint Conference on Computer Science and Software Engineering;B1
"22780661";IOSR JOURNAL OF COMPUTER ENGINEERING;nulo
"03044238";SCIENTIA HORTICULTURAE;A1
"01655515";JOURNAL OF INFORMATION SCIENCE;A1
CL;Corpus Linguistics Conference;B3
"01692968";FUNDAMENTA INFORMATICAE;A1
ICCDCS;International Caribbean Conference on Devices, Circuits and Systems;B4
SE4Science;International Workshop on Software Engineering for Science;B3
DySPAN;IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks;A4
"19818106";EDUCAÇÃO: TEORIA E PRÁTICA;nulo
DOLAP;International Workshop On Data Warehousing and OLAP;B2
"08878013";JOURNAL OF CLINICAL LABORATORY ANALYSIS (PRINT);A4
MEMEA;IEEE International Symposium on Medical Measurements and Applications;A4
"17424712";INTERNATIONAL JOURNAL FOR INFONOMICS (IJI);nulo
MMSP;International Workshop on Multimedia and Signal Processing;A4
"01679236";DECISION SUPPORT SYSTEMS;A1
"21686750";IEEE TRANSACTIONS ON EMERGING TOPICS IN COMPUTING;A1
"21585644";JOURNAL OF APPLIED ANALYSIS AND COMPUTATION;A2
"19819854";BRAZILIAN JOURNALISM RESEARCH (ONLINE);B3
SOCA;IEEE Conference on Service-Oriented Computing and Applications;A4
"1679396X";MARINE SYSTEMS & OCEAN TECHNOLOGY;B2
HM;International Workshop on Hybrid Metaheuristics;B2
"14337541";PATTERN ANALYSIS AND APPLICATIONS (PRINT);A4
SBCARS;Brazilian Symposium on Components, Architectures and Reuse Software;B1
"22370722";REVISTA GEINTEC: GESTÃO, INOVAÇÃO E TECNOLOGIAS;nulo
IIR;Italian Information Retrieval Workshop;B4
SBAC-PAD;International Symposium on Computer Architecture and High Performance Computing;A4
SBMICRO;Symposium on Microelectronics Technology and Devices;B3
"15622479";INTERNATIONAL JOURNAL OF FUZZY SYSTEMS;A1
"15731979";ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING (DORDRECHT. ONLINE);B1
"01017438";PESQUISA OPERACIONAL (IMPRESSO);B2
EuroVis;EG/VGTC Conference on Visualization;A1
RTSS;Real-Time Systems Symposium;A3
"07175000";CLEI ELECTRONIC JOURNAL;nulo
ACM DocEng;ACM Symposium on Document Engineering;B1
FROCOS;International Symposium on Frontiers of Combining Systems;B1
"24478725";MULTIVERSO - REVISTA ELETRÔNICA DO CAMPUS JUIZ DE FORA;nulo
MICRO;IEEE/ACM International Symposium on Microarchitecture;A1
"03062619";APPLIED ENERGY;A1
"0066782X";ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO);B1
"15265471";MATHEMATICS OF OPERATIONS RESEARCH (ONLINE);A1
"18691951";JOURNAL OF ZHEJIANG UNIVERSITY. SCIENCE C, COMPUTERS & ELECTRONICS;nulo
"13611682";TRANSACTIONS IN GIS (PRINT);A2
